,date,max-min
0,01-jan-1962,41.5
1,02-jan-1962,43.7
2,03-jan-1962,43.0
3,04-jan-1962,42.8
4,05-jan-1962,47.7
5,06-jan-1962,34.9
6,07-jan-1962,41.4
7,08-jan-1962,46.0
8,09-jan-1962,39.9
9,10-jan-1962,48.2
10,11-jan-1962,40.6
11,12-jan-1962,42.6
12,13-jan-1962,41.2
13,14-jan-1962,42.1
14,15-jan-1962,43.7
15,16-jan-1962,44.1
16,17-jan-1962,43.2
17,18-jan-1962,43.5
18,19-jan-1962,41.7
19,20-jan-1962,38.3
20,21-jan-1962,45.9
21,22-jan-1962,43.0
22,23-jan-1962,47.5
23,24-jan-1962,37.4
24,25-jan-1962,42.3
25,26-jan-1962,38.5
26,27-jan-1962,37.4
27,28-jan-1962,37.6
28,29-jan-1962,36.7
29,30-jan-1962,37.4
30,31-jan-1962,45.1
31,01-feb-1962,41.2
32,02-feb-1962,41.7
33,03-feb-1962,47.3
34,04-feb-1962,44.6
35,05-feb-1962,42.3
36,06-feb-1962,39.7
37,07-feb-1962,38.7
38,08-feb-1962,42.3
39,09-feb-1962,36.1
40,10-feb-1962,46.6
41,11-feb-1962,43.9
42,12-feb-1962,39.7
43,13-feb-1962,44.2
44,14-feb-1962,43.5
45,15-feb-1962,46.8
46,16-feb-1962,40.6
47,17-feb-1962,44.4
48,18-feb-1962,39.2
49,19-feb-1962,37.0
50,20-feb-1962,41.7
51,21-feb-1962,43.7
52,22-feb-1962,39.4
53,23-feb-1962,37.4
54,24-feb-1962,37.4
55,25-feb-1962,38.7
56,26-feb-1962,38.3
57,27-feb-1962,37.8
58,28-feb-1962,40.5
59,01-mar-1962,37.0
60,02-mar-1962,43.3
61,03-mar-1962,44.8
62,04-mar-1962,48.4
63,05-mar-1962,49.1
64,06-mar-1962,45.9
65,07-mar-1962,38.3
66,08-mar-1962,41.4
67,09-mar-1962,35.1
68,10-mar-1962,43.9
69,11-mar-1962,49.5
70,12-mar-1962,40.3
71,13-mar-1962,47.3
72,14-mar-1962,41.9
73,15-mar-1962,42.3
74,16-mar-1962,42.3
75,17-mar-1962,42.3
76,18-mar-1962,40.8
77,19-mar-1962,39.7
78,20-mar-1962,49.5
79,21-mar-1962,43.0
80,22-mar-1962,47.1
81,23-mar-1962,43.5
82,24-mar-1962,43.5
83,25-mar-1962,45.7
84,26-mar-1962,43.9
85,27-mar-1962,46.0
86,28-mar-1962,45.1
87,29-mar-1962,48.9
88,30-mar-1962,46.6
89,31-mar-1962,43.9
90,01-apr-1962,46.0
91,02-apr-1962,38.8
92,03-apr-1962,43.9
93,04-apr-1962,43.2
94,05-apr-1962,42.8
95,06-apr-1962,46.6
96,07-apr-1962,43.9
97,08-apr-1962,45.7
98,09-apr-1962,44.2
99,10-apr-1962,43.9
100,11-apr-1962,44.8
101,12-apr-1962,36.3
102,13-apr-1962,42.4
103,14-apr-1962,43.9
104,15-apr-1962,43.5
105,16-apr-1962,50.7
106,17-apr-1962,39.4
107,18-apr-1962,41.4
108,19-apr-1962,41.4
109,20-apr-1962,45.3
110,21-apr-1962,43.5
111,22-apr-1962,45.7
112,23-apr-1962,41.0
113,24-apr-1962,51.3
114,25-apr-1962,50.4
115,26-apr-1962,56.1
116,27-apr-1962,46.8
117,28-apr-1962,46.9
118,29-apr-1962,45.0
119,30-apr-1962,52.0
120,01-may-1962,43.2
121,02-may-1962,46.6
122,03-may-1962,45.1
123,04-may-1962,43.7
124,05-may-1962,42.6
125,06-may-1962,43.5
126,07-may-1962,37.4
127,08-may-1962,41.9
128,09-may-1962,40.5
129,10-may-1962,43.9
130,11-may-1962,43.3
131,12-may-1962,43.9
132,13-may-1962,50.7
133,14-may-1962,41.5
134,15-may-1962,42.1
135,16-may-1962,43.9
136,17-may-1962,46.2
137,18-may-1962,40.3
138,19-may-1962,48.0
139,20-may-1962,47.5
140,21-may-1962,41.9
141,22-may-1962,45.1
142,23-may-1962,48.7
143,24-may-1962,52.0
144,25-may-1962,48.6
145,26-may-1962,48.6
146,27-may-1962,46.8
147,28-may-1962,46.0
148,29-may-1962,45.3
149,30-may-1962,43.5
150,31-may-1962,44.4
151,01-jun-1962,54.5
152,02-jun-1962,48.4
153,03-jun-1962,49.3
154,04-jun-1962,46.4
155,05-jun-1962,45.0
156,06-jun-1962,47.7
157,07-jun-1962,53.8
158,08-jun-1962,55.8
159,09-jun-1962,46.6
160,10-jun-1962,45.5
161,11-jun-1962,44.4
162,12-jun-1962,41.4
163,13-jun-1962,44.6
164,14-jun-1962,43.3
165,15-jun-1962,37.9
166,16-jun-1962,48.6
167,17-jun-1962,42.8
168,18-jun-1962,41.7
169,19-jun-1962,41.2
170,20-jun-1962,45.7
171,21-jun-1962,42.3
172,22-jun-1962,43.5
173,23-jun-1962,41.5
174,24-jun-1962,45.9
175,25-jun-1962,53.2
176,26-jun-1962,48.9
177,27-jun-1962,56.5
178,28-jun-1962,53.1
179,29-jun-1962,46.0
180,30-jun-1962,49.3
