s concentrazione substrato
i concrentrazione inibitore
v velocità di reazione

s,i,v
200.0,0.0,18.1
200.0,0.0,18.8
200.0,6.25,17.7
200.0,6.25,18.1
200.0,12.5,16.4
200.0,12.5,17.6
200.0,25.0,13.7
200.0,25.0,15.5
200.0,50.0,11.0
200.0,50.0,12.7
200.0,100.0,8.2
200.0,100.0,7.7
100.0,0.0,15.4
100.0,0.0,17.6
100.0,6.25,15.6
100.0,6.25,16.7
100.0,12.5,16.2
100.0,12.5,15.7
100.0,25.0,12.8
100.0,25.0,14.1
100.0,50.0,11.3
100.0,50.0,11.3
100.0,100.0,7.6
100.0,100.0,7.8
50.0,0.0,14.7
50.0,0.0,13.7
50.0,6.25,13.5
50.0,6.25,13.4
50.0,12.5,12.7
50.0,12.5,12.9
50.0,25.0,11.2
50.0,25.0,10.9
50.0,50.0,9.9
50.0,50.0,9.2
50.0,100.0,7.8
50.0,100.0,7.9
25.0,0.0,7.2
25.0,0.0,10.4
25.0,6.25,7.8
25.0,6.25,10.3
25.0,12.5,8.3
25.0,12.5,10.8
25.0,25.0,9.5
25.0,25.0,8.7
25.0,50.0,6.0
25.0,50.0,7.8
25.0,100.0,5.5
25.0,100.0,6.6
12.5,0.0,5.9
12.5,0.0,7.7
12.5,6.25,7.1
12.5,6.25,7.7
12.5,12.5,6.7
12.5,12.5,6.8
12.5,25.0,6.6
12.5,25.0,6.9
12.5,50.0,5.6
12.5,50.0,4.9
12.5,100.0,4.9
12.5,100.0,5.5
